1 11 	 [(1,10)0.662272] 	 [(453,1)0.974001] 	 0.679950 	 1
1 12 	 [(1,2)0.808751] 	 [(282,4)0.976193] 	 0.828474 	 1
1 13 	 [(1,9)0.495812] 	 [(487,4)0.974957] 	 0.508548 	 1
1 14 	 [(1,2)0.807506] 	 [(460,8)0.981636] 	 0.822612 	 1
1 15 	 [(1,2)0.685549] 	 [(335,10)0.972213] 	 0.705143 	 1
1 16 	 [(1,2)0.754538] 	 [(453,1)0.968560] 	 0.779031 	 1
1 17 	 [(1,2)0.722410] 	 [(142,10)0.971937] 	 0.743268 	 1
1 18 	 [(1,2)0.652734] 	 [(39,1)0.979044] 	 0.666705 	 1
1 19 	 [(1,2)0.744572] 	 [(394,6)0.977859] 	 0.761431 	 1
1 20 	 [(1,2)0.822893] 	 [(488,1)0.980871] 	 0.838941 	 1
2 11 	 [(2,10)0.552764] 	 [(387,7)0.975521] 	 0.566635 	 1
2 12 	 [(2,6)0.763421] 	 [(593,10)0.981129] 	 0.778105 	 1
2 13 	 [(2,10)0.493074] 	 [(364,6)0.981657] 	 0.502287 	 1
2 14 	 [(2,2)0.602766] 	 [(606,2)0.977080] 	 0.616905 	 1
2 15 	 [(2,2)0.678016] 	 [(52,9)0.977261] 	 0.693792 	 1
2 16 	 [(2,2)0.654094] 	 [(52,6)0.978396] 	 0.668537 	 1
2 17 	 [(2,2)0.778023] 	 [(185,8)0.979973] 	 0.793923 	 1
2 18 	 [(2,2)0.608276] 	 [(52,9)0.975955] 	 0.623262 	 1
2 19 	 [(2,2)0.616639] 	 [(516,6)0.968998] 	 0.636368 	 1
2 20 	 [(2,2)0.673439] 	 [(297,8)0.981843] 	 0.685893 	 1
3 11 	 [(3,10)0.587363] 	 [(681,5)0.988920] 	 0.593944 	 1
3 12 	 [(3,1)0.640024] 	 [(35,4)0.974441] 	 0.656811 	 1
3 13 	 [(3,9)0.650555] 	 [(11,8)0.984129] 	 0.661046 	 1
3 14 	 [(3,2)0.610666] 	 [(456,1)0.983623] 	 0.620833 	 1
3 15 	 [(3,1)0.648482] 	 [(75,3)0.984019] 	 0.659014 	 1
3 16 	 [(3,2)0.710137] 	 [(413,4)0.987158] 	 0.719375 	 1
3 17 	 [(3,2)0.665257] 	 [(750,1)0.985773] 	 0.674858 	 1
3 18 	 [(3,1)0.521014] 	 [(320,4)0.984060] 	 0.529453 	 1
3 19 	 [(3,6)0.711705] 	 [(343,3)0.982416] 	 0.724444 	 1
3 20 	 [(3,1)0.577701] 	 [(198,1)0.988642] 	 0.584338 	 1
4 11 	 [(4,10)0.618436] 	 [(38,7)0.987386] 	 0.626337 	 1
